Time,AAPL,AMZN,BRK-B,GOOGL,JNJ,MSFT,NVDA,UNH,V,XOM
686,0.23192847,0.0,0.22738452,0.0,0.0,0.0,0.54068696,0.0,0.0,0.0
687,0.0,0.22576441,0.10396361,0.0,0.0,0.22576441,0.123478234,0.0,0.10536051,0.21566883
688,0.0,0.39356858,0.0,0.0,0.0,0.28970775,0.04419781,0.14410673,0.0,0.12841913
689,0.0,0.34446135,0.0879078,0.0,0.0,0.0,0.34446135,0.0,0.22316948,0.0
690,0.009182906,0.3204108,0.1705131,0.0,0.0,0.027476415,0.3204108,0.008428966,0.14357705,0.0
691,0.0,0.5278099,0.07519675,0.0,0.0,0.0,0.0,0.3969933,0.0,0.0
692,0.276589,0.05373404,0.0,0.0,0.0,0.0,0.38838235,0.0,0.0,0.2812946
693,0.2814093,0.33747962,0.13383168,0.0,0.0,0.0025471882,0.0,0.0,0.24473222,0.0
694,0.2802591,0.41457108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30516985
695,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0
696,0.0,0.51174664,0.12806253,0.0,0.0,0.29669392,0.06349696,0.0,0.0,0.0
697,0.0,0.39818892,0.0,0.0,0.0,0.0,0.0,0.39818892,0.0,0.20362213
698,0.0,0.109073035,0.0,0.0,0.0,0.0,0.37182695,0.14727303,0.0,0.37182695
699,0.0,0.6320021,0.15261367,0.2116683,0.0,0.0,0.0,0.0,0.0037158476,0.0
700,0.0,0.78102875,0.02058287,0.0,0.0,0.0,0.1983884,0.0,0.0,0.0
701,0.0,0.3627354,0.0,0.0,0.0,0.2745292,0.0,0.3627354,0.0,0.0
702,0.0,0.27293485,0.044013638,0.0,0.0,0.0,0.23457396,0.012245633,0.27293485,0.16329704
703,0.0,0.12300428,0.0,0.0,0.0,0.14173256,0.0,0.14587303,0.5072361,0.08215402
704,0.24040863,0.35905266,0.0,0.0,0.3721961,0.028342614,0.0,0.0,0.0,0.0
705,0.029692408,0.37025505,0.54275036,0.04950478,0.0,0.007797459,0.0,0.0,0.0,0.0
706,0.0,0.337286,0.0,0.0,0.0,0.26974523,0.0,0.0,0.0,0.39296874
707,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
708,0.0,0.5317327,0.0,0.0,0.0,0.0,0.0,0.21798004,0.25028735,0.0
709,0.19027352,0.0,0.0,0.044437148,0.0,0.3231638,0.0,0.0,0.0,0.4421256
710,0.0,0.21779923,0.21779923,0.0,0.0,0.16494246,0.0,0.18617585,0.0,0.21328321
711,0.0,0.1852364,0.1852364,0.0,0.09847397,0.16058043,0.1852364,0.0,0.0,0.1852364
712,0.0,0.0,0.38436255,0.0,0.0,0.20901637,0.0,0.0,0.29412305,0.112497985
713,0.0,0.5991629,0.16667578,0.0,0.0,0.23416135,0.0,0.0,0.0,0.0
714,0.07224918,0.21842499,0.0,0.0,0.0024077145,0.0,0.35833818,0.0,0.3485799,0.0
715,0.3708081,0.40335718,0.0,0.0,0.17469402,0.051140714,0.0,0.0,0.0,0.0
716,0.2282831,0.2282831,0.08686751,0.0,0.0,0.0,0.2282831,0.0,0.2282831,0.0
717,0.23505305,0.23505305,0.23505305,0.0,0.0,0.0,0.0,0.0,0.19565564,0.099185236
718,0.0,0.45232266,0.0,0.0,0.0,0.0,0.45232266,0.0,0.09535462,0.0
719,0.0,0.0,0.04972199,0.10494935,0.0,0.0,0.42266434,0.0,0.0,0.42266434
720,0.0,0.5657664,0.0,0.0,0.0,0.0,0.43423355,0.0,0.0,0.0
721,0.0,0.08923302,0.14617658,0.0,0.0025284651,0.0,0.38646752,0.37559444,0.0,0.0
722,0.24141927,0.37929037,0.0,0.0,0.0,0.0,0.0,0.0,0.37929037,0.0
723,0.21666516,0.2171579,0.0,0.0,0.0,0.27572402,0.014728882,0.0,0.0,0.27572402
724,0.19905259,0.29762402,0.0,0.0,0.0044689504,0.0,0.09703367,0.0,0.29762402,0.10419673
725,0.0,0.36008444,0.0,0.0,0.0,0.21791369,0.42026284,0.0017389946,0.0,0.0
726,0.0,0.09243225,0.3640366,0.0,0.0,0.0,0.36437166,0.0,0.17915952,0.0
727,0.31230876,0.31230876,0.24185815,0.0,0.0,0.0,0.0,0.13352437,0.0,0.0
728,0.0,0.025994275,0.20485298,0.0,0.0,0.16888204,0.0,0.0,0.2770346,0.32323614
729,0.0,0.25691873,0.14171691,0.0,0.0,0.17005281,0.087512605,0.0,0.25691873,0.08688018
730,0.031287134,0.26985002,0.26985002,0.0,0.0,0.26985002,0.15916283,0.0,0.0,0.0
731,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
